"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","V2","V3","V4"
"1","AAD14",144.482480009029,-10.6647441345287,1.18629436807727,-8.98996439797139,2.47310530782719e-19,2.85958862750136e-17,"  Verified ","",""
"2","AAD15",5.10968876948372,-5.845743851805,1.38357168400166,-4.22511093526975,2.38823100378119e-05,0.000599293541672242,"  Verified ","",""
"3","AAD3",70.9698985718179,-9.63865434856167,1.19373376068976,-8.07437526353636,6.78229927809234e-16,6.24925294420477e-14," Verified ","",""
"4","AAD4",94.5379126358154,-10.0534093223182,1.1910142948444,-8.44104841212811,3.14503843943656e-17,3.0910486128929e-15,"  Verified ","",""
"5","BNA2",143.545759479136,1.08207879731091,0.178733315353058,6.05415277601404,1.41158595917887e-09,7.63680954245671e-08," Verified ","",""
"6","COS1",336.652634193433,-2.74727364294903,0.461880988430761,-5.94801195927739,2.7141876862723e-09,1.3564037954193e-07," Verified ","",""
"7","COS10",196.90336508049,-11.1114504841695,1.18448924178787,-9.38079476973369,6.54772853253051e-21,8.89424662274061e-19," Verified ","",""
"8","COS2",554.389682331155,-10.7489900181092,1.02400411606333,-10.4970183708172,8.91516954911549e-26,1.69589531713336e-23,"  Verified ","",""
"9","COS3",554.389682331155,-10.7489900181092,1.02400411606333,-10.4970183708172,8.91516954911549e-26,1.69589531713336e-23," Verified ","",""
"10","COS7",253.716065672818,-11.4767351504068,1.18372452139609,-9.69544428873624,3.15262549088839e-22,4.63180153965393e-20," Verified ","",""
"11","DDI2",15.348561676151,-7.42825642049672,1.24988589376394,-5.94314765656494,2.79600362717855e-09,1.38554902432537e-07," Verified ","",""
"12","DSF1",13.6739727850171,-7.26035346124484,1.25722132088851,-5.77492072447019,7.69893246131146e-09,3.72136104297981e-07," Verified ","",""
"13","ERR1",11.6020897170909,-7.02839557620826,1.2692389154279,-5.53748824652036,3.06840278969973e-08,1.34032379635995e-06," Verified ","",""
"14","ERR2",11.6020897170909,-7.02839557620826,1.2692389154279,-5.53748824652036,3.06840278969973e-08,1.34032379635995e-06,"  Verified ","",""
"15","ERR3",15.6880292525785,-7.4638323031592,1.24701963751444,-5.98533662070962,2.15942786431062e-09,1.14722037079637e-07," Verified ","",""
"16","FDH1",29.6043396412472,1.79518614078515,0.387405703905752,4.63386605485262,3.58899262016071e-06,0.000110230674380665,"  Verified ","",""
"17","FEX1",151.514464155387,-10.7322121867697,1.18622137285287,-9.04739404665982,1.46420854946686e-19,1.72688756324121e-17," Verified ","",""
"18","FEX2",127.582467104441,-3.03790316441512,0.492042372519529,-6.17406819835328,6.65548100281502e-10,3.66797864239254e-08,"  Verified ","",""
"19","FIT1",108.173054234554,1.13793624392534,0.245060894657525,4.64348359421284,3.425832073873e-06,0.000105770323244131,"  Verified ","",""
"20","FLO1",107.201082062964,-3.50874897315279,0.255965335516779,-13.7079068385133,9.1046667710876e-43,5.36902199491036e-40," Verified ","",""
"21","GEX2",111.156235741918,-9.32389035207915,1.19014866563198,-7.83422325405718,4.71749907238318e-15,4.15210328803636e-13," Verified ","",""
"22","HBN1",64.910559801993,1.62695387742757,0.260760422019368,6.23926692873172,4.39626251715198e-10,2.54164314349463e-08,"  Verified ","",""
"23","HPF1",914.192103987408,-1.60643549946576,0.0818706560346865,-19.6216272993483,1.01065590351446e-85,1.19196757260495e-82,"  Verified ","",""
"24","HSP26",176.216144602404,1.43382743801753,0.157158206988676,9.12346523602707,7.27598472077617e-20,9.12903870179087e-18," Verified ","",""
"25","HSP32",7.04475244263805,-6.3060818740423,1.32200489576615,-4.77008965264663,1.84143944340346e-06,6.06646279203921e-05," Verified ","",""
"26","HXT11",39.5769321616331,-5.09257119619248,0.606979470884105,-8.39002213497406,4.86050649524535e-17,4.69875521351833e-15," Verified ","",""
"27","HXT13",9.15508986570205,-6.68219953052608,1.29121141063916,-5.17513977607922,2.27740421022723e-07,8.49990672639871e-06,"  Verified ","",""
"28","HXT15",153.46403583784,-1.5477426220887,0.202950511809133,-7.62620704077993,2.41761443220019e-14,2.00798201502599e-12,"  Verified ","",""
"29","HXT9",39.9027093918489,-7.84022040797276,1.20531328384215,-6.50471583867448,7.78403794485625e-11,4.88324167668269e-09," Verified ","",""
"30","IMA2",44.8629565529014,-8.97941571588828,1.20462853630426,-7.45409513827116,9.04866873920563e-14,7.30958898015008e-12,"  Verified ","",""
"31","IMD2",3769.68443752801,-11.5140924664789,0.51336707290519,-22.4285761089421,2.07161157270653e-111,3.0540733610626e-108," Verified ","",""
"32","MET14",314.247840216513,-1.56666132664095,0.130882549804743,-11.9699786486294,5.10417593282117e-33,2.31533272891126e-30,"  Verified ","",""
