"","BY4742_R1","BY4742_R2","BY4742_R3","SY14_R1","SY14_R2","SY14_R3"
"BY4742_R1",1,0.981594523721645,0.997045347416513,0.980615657676767,0.978585777346541,0.995447281508745
"BY4742_R2",0.981594523721645,1,0.978950826368456,0.99592739576622,0.997597319647685,0.982349797000934
"BY4742_R3",0.997045347416513,0.978950826368456,1,0.980249240956997,0.976184760637196,0.994221990843622
"SY14_R1",0.980615657676767,0.99592739576622,0.980249240956997,1,0.997510720144411,0.982863150588031
"SY14_R2",0.978585777346541,0.997597319647685,0.976184760637196,0.997510720144411,1,0.981978649953472
"SY14_R3",0.995447281508745,0.982349797000934,0.994221990843622,0.982863150588031,0.981978649953472,1
