gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
YAL047C_SPC72,402,402,331,342,292,410
YAL047W-A,1,1,3,0,1,2.04
YAL048C_GEM1,269,269,320,317,312,347.96
YAL049C_AIM2,626,626,579,677,551,660
YAL051W_OAF1,768,768,692,727,708,927
YAL053W_FLC2,3456,3456,3296,2990,3577,4034
YAL054C_ACS1,233,233,270,289,285,334
YAL055W_PEX22,319,319,290,307,283,285
YAL056C-A,62.54,62.54,48.02,44.36,57.69,48.1
YAL056W_GPB2,1294,1294,1268,1197,1142,1388
YAL058W_CNE1,678.46,678.46,647.98,622.64,555.31,603.9
YAL059C-A,114.45,114.45,68.98,69.84,134.94,128.44
YAL059W_ECM1,1205.55,1205.55,1171.02,1031.16,1052.06,1173.56
YAL060W_BDH1,1260,1260,1129,1144,1255,1469
YAL061W_BDH2,443,443,375,487,372,491
YAL062W_GDH3,366,366,337,491,421,471
YAL063C_FLO9,372.5,372.5,383.55,329.24,313.2,404.89
YAL063C-A,5,5,1,0,3,9
YAL064C-A_TDA8,14,14,10,10,8,11
YAL064W,1,1,0,0,0,0
YAL064W-B,8,8,8,9,5,9
YAL065C,6,6,9,12.73,9.8,4
YAL066W,0,0,0,0,0,1
YAL067C_SEO1,49,49,46,112,122,139
YAL067W-A,1,1,0,0,0,0
YAL068C_PAU8,1,1,0,0,0,0
YAL068W-A,0,0,0,0,0,0
YAL069W,2,2,2,0,0,0
YAR002C-A_ERP1,2058,2058,2366,2226,2319,2642
YAR002W_NUP60,1585,1585,1613,1577,1485,1820
YAR003W_SWD1,600,600,532,522,668,695
YAR007C_RFA1,1130,1130,1211,1194,1218,1485
YAR008W_SEN34,503,503,431,408,403,446
YAR009C,4789.92,4789.92,4349.34,4171.03,4666.64,5522.22
YAR010C,0,0,0,0,0,0
YAR014C_BUD14,1801,1801,1780,1760,1836,1933
YAR015W_ADE1,7467,7467,7297,6347,7059,7605
YAR018C_KIN3,495,495,501,418,562,602
YAR019C_CDC15,376,376,370,321,399,430
YAR019W-A,0,0,1,1,0,4
YAR020C_PAU7,0,0,0,0,0,0
YAR023C,95,95,75,87,98,77
YAR027W_UIP3,944,944,1013,821,934,975
YAR028W,412,412,402,348,393,392
YAR029W,5,5,0,2,2,0
YAR030C,20,20,14,23,10,16
YAR031W_PRM9,261.62,261.62,251.21,246.77,277.74,281.16
YAR033W_MST28,226.32,226.32,236.24,232.14,192.43,210.16
YAR035C-A,0,0,0,0,0,0
YAR035W_YAT1,107,107,99,109,86,99
YAR042W_SWH1,987,987,1060,1215,1249,1429
YAR047C,1,1,0,6,8,10
YAR050W_FLO1,205.92,205.92,177.83,11.03,11.71,21.59
YAR053W,11,11,8,4,2,4
YAR060C,5,5,5,1,2,0.5
YAR061W,129.4,129.4,72.02,13,12,10
YAR064W,6,6,3,0,0,0
YAR066W,33.14,33.14,27.83,0,0,0
YAR068W,25.96,25.96,34.93,0,0,0
YAR069C,1,1,1.5,1,0.5,2.5
YAR070C,0,0,0,0,0,2
YAR071W_PHO11,586.94,586.94,448.68,0,0.51,0
YAR073W_IMD1,37.03,37.03,29,0,0,0
YAR075W,21.01,21.01,11.03,0,0,0
YBL001C_ECM15,641,641,567,911,853,863
YBL002W_HTB2,9359,9359,8323,9316,7520,8295
YBL003C_HTA2,6101,6101,5907,5904.01,4963,5533
YBL004W_UTP20,1003,1003,837,947,1063,1191
YBL005W_PDR3,968,968,825,925,909,1185
YBL005W-A,0,0,0,0,0,0
YBL005W-B,2609.07,2609.07,2947.65,2873.96,3093.54,3585.42
YBL006C_LDB7,1232.52,1232.52,1219.57,1467,1219,1362
YBL006W-A,1.48,1.48,0.43,0,0,0
YBL007C_SLA1,2731,2731,2794,2656,2730,3227
YBL008W_HIR1,582,582,481,478,496,578
YBL008W-A,0,0,0,0,2,0
YBL009W_ALK2,752,752,761,702,728,880
YBL010C,308,308,300,275,248,310
YBL011W_SCT1,1445.89,1445.89,1378.04,1572.11,1492.23,1715.63
YBL012C,73.11,73.11,94.96,108.89,98.77,89.37
YBL013W_FMT1,87,87,55,79,50,84
YBL014C_RRN6,1068,1068,957,935,929,1145
YBL015W_ACH1,384,384,404,373,471,499
YBL016W_FUS3,1331,1331,1294,1113,1111,1158
YBL017C_PEP1,2388,2388,2301,2061,1995,2410
YBL018C_POP8,599,599,508,538,481,514
YBL019W_APN2,339,339,334,282,284,366
YBL020W_RFT1,1096,1096,1079,1088,1003,1166
YBL021C_HAP3,194,194,169,194,218,240
YBL022C_PIM1,1929,1929,1977,2086,1942,2533
YBL023C_MCM2,913,913,860,785,812,965
YBL024W_NCL1,3236,3236,3268,3038,2915,3424
YBL025W_RRN10,205,205,190,219,225,190
YBL026W_LSM2,320,320,259,283,299,268
YBL027W_RPL19B,26168.41,26168.41,26324.54,23387.63,23224.73,24488.14
YBL028C,690,690,621,602,699,664
YBL029C-A,128,128,121,101,140,128
YBL029W,377,377,354,336,368,412
YBL030C_PET9,1987,1987,1897,1985,2215,2410
YBL031W_SHE1,287,287,280,231,199,251
YBL032W_HEK2,1658,1658,1636,1609,1548,1803
YBL033C_RIB1,1031,1031,1073,1241,1091,1291
YBL034C_STU1,330,330,321,296,327,417
YBL035C_POL12,587,587,525,519,477,550
YBL036C,1138,1138,1127,957,1016,1089
YBL037W_APL3,535,535,525,533,548,653
YBL038W_MRPL16,650,650,615,544,527,663
YBL039C_URA7,6217,6217,6187,5589,5678,6302
YBL039C-A,0,0,0,0,0,0
YBL039W-B,1,1,1,0,4,0
YBL040C_ERD2,1234,1234,1154,999,1086,1214
YBL041W_PRE7,4111,4111,3713,4489,4389,4591
YBL042C_FUI1,2946,2946,2751,2366,2910,2909
YBL043W_ECM13,26,26,19,18,25,30
YBL044W,5,5,5,4,3,1
YBL045C_COR1,1404,1404,1560,1275,1502,1610
YBL046W_PSY4,887,887,897,857,858,902
YBL047C_EDE1,2166,2166,2264,2044,2167,2606
YBL048W_RRT1,13,13,7,13,14,16
YBL049W_MOH1,56,56,46,58,59,36
YBL050W_SEC17,1494,1494,1419,1414,1324,1672
YBL051C_PIN4,1190,1190,1264,1241,1230,1573
YBL052C_SAS3,684.3,684.3,721.33,628.66,656.68,765.92
YBL053W,103.7,103.7,91.67,81.34,107.32,80.08
YBL054W_TOD6,1475,1475,1292,1318,1444,1611
YBL055C,1285,1285,1187,1078,1104,1189
YBL056W_PTC3,2289,2289,2212,2138,2105,2426
YBL057C_PTH2,859,859,893,729,799,817
YBL058W_SHP1,2923,2923,2833,3036,2848,3287
YBL059C-A_CMC2,200,200,168,162,202,186
YBL059W,215,215,180,207,177,197
YBL060W_YEL1,701,701,702,712,694,705
YBL061C_SKT5,1804.66,1804.66,1622.95,1780.02,1740.91,1991.64
YBL062W,88.34,88.34,82.05,87.98,108.09,103.36
YBL063W_KIP1,425,425,363,338,348,415
YBL064C_PRX1,751,751,695,877,1000,1002
YBL065W,4,4,3,7,17,3
YBL066C_SEF1,347,347,367,403,450,482
YBL067C_UBP13,1161,1161,1086,1118,1086,1256
YBL068W_PRS4,1268,1268,1183,1263,1241,1322
YBL068W-A,19.33,19.33,6.81,8.03,2.43,14.9
YBL069W_AST1,680.69,680.69,722.62,762.1,643.45,799.5
YBL070C,27.98,27.98,18.57,30.87,25.11,22.6
YBL071C,145,145,99,110,117,103
YBL071C-B,0,0,0,0,0,0
YBL071W-A_KTI11,124,124,89,104,115,102
YBL072C_RPS8A,29007.95,29007.95,30107.04,24165.13,24801.68,27377.14
YBL073W,6,6,2,16,7,4
YBL074C_AAR2,152,152,202,177,182,187
YBL075C_SSA3,397,397,406,631,794,922
YBL076C_ILS1,7974.57,7974.57,8079.6,7348.71,7280.8,8859.72
YBL077W,932.43,932.43,742.4,684.29,647.2,865.28
YBL078C_ATG8,141,141,142,195,185,201
YBL079W_NUP170,1087,1087,1077,1012,1045,1305
YBL080C_PET112,281,281,302,248,268,390
YBL081W,891,891,841,832,858,972
YBL082C_ALG3,1040.99,1040.99,957.34,1109.91,1036.16,1117.95
YBL083C,183.01,183.01,161.66,199.09,143.84,214.05
YBL084C_CDC27,542,542,545,470,488,548
YBL085W_BOI1,1499,1499,1541,1446,1405,1658
YBL086C,543,543,517,532,556,674
YBL087C_RPL23A,11573.7,11573.7,12180.31,10214.99,9838.19,10872.85
YBL088C_TEL1,488,488,487,428,510,586
YBL089W_AVT5,628,628,521,508,513,569
YBL090W_MRP21,482,482,386,396,458,479
YBL091C_MAP2,3779,3779,3645,3915,3634,4018
YBL091C-A_SCS22,222,222,308,249,257,306
YBL092W_RPL32,38244,38244,39770,32508,31611,34931
YBL093C_ROX3,1454,1454,1197,1452,1406,1379
YBL094C,11.15,11.15,22.41,9.01,12.01,17.94
YBL095W_MRX3,246.85,246.85,267.59,264.88,242.84,245.91
YBL096C,7,7,5,7.11,5.15,10.15
YBL097W_BRN1,220,220,230,197,186,189
YBL098W_BNA4,472,472,434,355,340,388
YBL099W_ATP1,3279.48,3279.48,3581.19,3116.16,3441.2,3734.43
YBL100C,104.52,104.52,115.81,70.84,114.8,83.57
YBL100W-A,0,0,0,0,0,0
YBL100W-B,376.59,376.59,391.28,341.72,359.37,435.78
YBL100W-C,0,0,0,0,0,0
YBL101C_ECM21,525,525,555,532,532,738
YBL102W_SFT2,746,746,719,807,813,809
YBL103C_RTG3,734,734,735,648,686,764
YBL104C_SEA4,801,801,825,713,757,866
YBL105C_PKC1,1812,1812,1643,1778,1712,2008
YBL106C_SRO77,395,395,360,346,334,401
YBL107C_MIX23,674,674,637,776,756,792
YBL107W-A,0,0,0,0,0,0
YBL108C-A_PAU9,0,0,0,0,0,0
YBL108W,0,0,0,0,0,0
YBL109W,3,3,0,0,0,0
YBL111C,0,0,19.78,0,0,1.64
YBL112C,23.87,23.87,15.29,0,0,0
YBL113C,612.77,612.77,597.7,1.52,0,0
YBL113W-A,157.15,157.15,100.23,0,0,0
YBR001C_NTH2,559,559,577,764,706,861
YBR002C_RER2,1222,1222,1167,1441,1424,1613
YBR003W_COQ1,685,685,724,676,664,789
YBR004C_GPI18,623,623,550,721,662,711
YBR005W_RCR1,1103,1103,1046,1408,1307,1357
YBR006W_UGA2,349,349,405,335,376,436
YBR007C_DSF2,512,512,472,415,477,603
YBR008C_FLR1,488,488,516,709,729,815
YBR009C_HHF1,5739.97,5739.97,5073.11,5929.02,5409.76,5509.41
YBR010W_HHT1,8527.72,8527.72,7995.72,8357.77,7400,8112.37
YBR011C_IPP1,11969,11969,12083,11698,11452,12759
YBR012C,116,116,74,95,141,114
YBR012W-A,0,0,0,0,0,0
YBR012W-B,697.27,697.27,695.7,618.72,780.52,1073.99
YBR013C,45,45,38,43,53,46
YBR014C_GRX7,412,412,398,392,387,431
YBR015C_MNN2,1715,1715,1781,1903,1932,2096
YBR016W,778,778,842,836,758,883
YBR017C_KAP104,2192,2192,2180,2011,1974,2308
YBR018C_GAL7,39,39,39,30,45,30
YBR019C_GAL10,161,161,156,149,179,196
YBR020W_GAL1,154,154,142,121,178,180
YBR021W_FUR4,660,660,560,434,557,623
YBR022W_POA1,367,367,350,311,284,326
YBR023C_CHS3,2832,2832,2697,2495,2869,3241
YBR024W_SCO2,248,248,259,306,273,328
YBR025C_OLA1,10458,10458,10701,9989,9984,11041
YBR026C_ETR1,873,873,886,791,867,962
YBR027C,0,0,0,0,1,0
YBR028C_YPK3,1178,1178,1020,1037,1050,1034
YBR029C_CDS1,1810,1810,1681,1631,1653,1939
YBR030W_RKM3,1115,1115,931,935,1011,1048
YBR031W_RPL4A,34483.04,34483.04,35446.3,34649.04,33465.59,37438.35
YBR032W,5,5,4,9,3,2
YBR033W_EDS1,202,202,163,169,195,204
YBR034C_HMT1,6466,6466,6092,6720,6438,6709
