gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
URA7,6217,6217,6187,5589,5678,6302
MIN6,1,1,1,0,4,0
ERD2,1234,1234,1154,999,1086,1214
PRE7,4111,4111,3713,4489,4389,4591
FUI1,2946,2946,2751,2366,2910,2909
ECM13,26,26,19,18,25,30
YBL044W,5,5,5,4,3,1
COR1,1404,1404,1560,1275,1502,1610
PSY4,887,887,897,857,858,902
EDE1,2166,2166,2264,2044,2167,2606
RRT1,13,13,7,13,14,16
MOH1,56,56,46,58,59,36
SEC17,1494,1494,1419,1414,1324,1672
PIN4,1190,1190,1264,1241,1230,1573
SAS3,732,732,755,662,705,792
TOD6,1475,1475,1292,1318,1444,1611
YBL055C,1285,1285,1187,1078,1104,1189
PTC3,2289,2289,2212,2138,2105,2426
PTH2,859,859,893,729,799,817
SHP1,2923,2923,2833,3036,2848,3287
CMC2,200,200,168,162,202,186
IAI11,215,215,180,207,177,197
YEL1,701,701,702,712,694,705
SKT5,1870,1870,1685,1850,1824,2066
KIP1,425,425,363,338,348,415
PRX1,751,751,695,877,1000,1002
SEF1,347,347,367,403,450,482
UBP13,1161,1161,1086,1118,1086,1256
PRS4,1268,1268,1183,1263,1241,1322
AST1,701,701,730,771,647,815
YBL071C,145,145,99,110,117,103
YBL071C-B,0,0,0,0,0,0
KTI11,124,124,89,104,115,102
RPS8A,29007.97,29007.97,30107.05,24165.13,24801.67,27377.13
AAR2,152,152,202,177,182,187
SSA3,397,397,406,631,794,922
ILS1,8187,8187,8235,7491,7446,9047
ATG8,141,141,142,195,185,201
NUP170,1087,1087,1077,1012,1045,1305
PET112,281,281,302,248,268,390
YBL081W,891,891,841,832,858,972
ALG3,1182,1182,1083,1263,1151,1286
CDC27,542,542,545,470,488,548
BOI1,1499,1499,1541,1446,1405,1658
YBL086C,543,543,517,532,556,674
RPL23A,11573.69,11573.69,12180.31,10214.99,9838.18,10872.85
TEL1,488,488,487,428,510,586
AVT5,628,628,521,508,513,569
MRP21,482,482,386,396,458,479
MAP2,3779,3779,3645,3915,3634,4018
SCS22,222,222,308,249,257,306
RPL32,38244,38244,39770,32508,31611,34931
ROX3,1454,1454,1197,1452,1406,1379
MRX3,257,257,280,270,251,259
BRN1,220,220,230,197,186,189
BNA4,472,472,434,355,340,388
ATP1,3292,3292,3588,3122,3454,3742
YBL100W-A,0,0,0,0,0,0
YBL100W-B,376.6,376.6,391.29,341.72,359.36,435.79
YBL100W-C,0,0,0,0,0,0
ECM21,525,525,555,532,532,738
SFT2,746,746,719,807,813,809
RTG3,734,734,735,648,686,764
SEA4,801,801,825,713,757,866
PKC1,1812,1812,1643,1778,1712,2008
SRO77,395,395,360,346,334,401
MIX23,674,674,637,776,756,792
PAU9,0,0,0,0,0,0
YBL111C,0,0,19.85,0,0,1.62
YBL112C,46.96,46.96,30.02,0,0,0
YBL113C,691.48,691.48,657.09,1.52,0,0
NTH2,559,559,577,764,706,861
RER2,1222,1222,1167,1441,1424,1613
COQ1,685,685,724,676,664,789
GPI18,623,623,550,721,662,711
RCR1,1103,1103,1046,1408,1307,1357
UGA2,349,349,405,335,376,436
DSF2,512,512,472,415,477,603
FLR1,488,488,516,709,729,815
HHF1,5739.97,5739.97,5073.11,5929.02,5409.76,5509.41
HHT1,8527.72,8527.72,7995.72,8357.77,7400,8112.37
IPP1,11969,11969,12083,11698,11452,12759
YBR012W-A,0,0,0,0,0,0
YBR012W-B,696.56,696.56,695.02,617.98,779.58,1072.87
YBR013C,45,45,38,43,53,46
GRX7,412,412,398,392,387,431
MNN2,1715,1715,1781,1903,1932,2096
CPP1,778,778,842,836,758,883
KAP104,2192,2192,2180,2011,1974,2308
GAL7,39,39,39,30,45,30
GAL10,161,161,156,149,179,196
GAL1,154,154,142,121,178,180
FUR4,660,660,560,434,557,623
POA1,367,367,350,311,284,326
CHS3,2832,2832,2697,2495,2869,3241
SCO2,248,248,259,306,273,328
OLA1,10458,10458,10701,9989,9984,11041
ETR1,873,873,886,791,867,962
YBR027C,0,0,0,0,1,0
YPK3,1178,1178,1020,1037,1050,1034
CDS1,1810,1810,1681,1631,1653,1939
RKM3,1115,1115,931,935,1011,1048
RPL4A,34482.99,34482.99,35446.23,34648.98,33465.54,37438.31
YBR032W,5,5,4,9,3,2
EDS1,202,202,163,169,195,204
HMT1,6466,6466,6092,6720,6438,6709
PDX3,1634,1634,1540,1529,1645,1688
CSG2,2931,2931,2910,2978,2845,3127
SCO1,559,559,535,511,516,539
CHS2,1259,1259,1218,1078,1222,1457
ATP3,1920,1920,2139,1833,2068,2084
FIG1,16,16,21,16,27,6
FAT1,1399,1399,1473,1297,1305,1475
CST26,1226,1226,1261,1073,1115,1175
QDR3,969,969,971,948,892,1098
TCM62,492,492,471,443,462,463
GIP1,73,73,54,53,61,83
ZTA1,558,558,483,590,522,620
FMP23,71,71,62,69,68,83
RPS11B,11341,11341,11546.96,11058.41,10805.67,12060
REB1,974,974,910,879,782,1064
REG2,90,90,86,110,108,166
RFS1,1197,1197,1168,1269,1200,1402
YBR053C,478,478,529,542,518,596
YRO2,240,240,226,174,286,249
PRP6,749,749,808,796,747,890
MRX18,987,987,1155,954,915,1191
MNC1,25,25,22,28,41,24
MUM2,815,815,748,761,768,864
UBP14,1411,1411,1443,1270,1382,1474
TSC3,200,200,147,223,221,164
AKL1,1260,1260,1238,1215,1295,1453
ORC2,804,804,677,655,668,776
TRM7,965,965,958,939,834,1032
