gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
CMK1,25.61,25.61,24.7,28.61,28.68,32.73
GSY1,6.45,6.45,8.31,6.3,10.17,10.12
AIP5,10.67,10.67,10.29,10.67,11.91,13.31
IGD1,3.89,3.89,4.97,4.14,5.59,4.67
YFR018C,49.23,49.23,42.05,46.25,46.51,44.17
FAB1,2.51,2.51,2.32,3.1,3.26,3.61
CSS2,17.54,17.54,15.31,16.4,16,18.48
ATG18,14.22,14.22,12.3,15.96,15.47,17.34
ROG3,6.56,6.56,5.72,7.8,8.43,7.3
PES4,0.51,0.51,0.8,0.5,0.63,0.44
LSB3,70.19,70.19,67.44,87.06,77.45,84.53
HIS2,26.76,26.76,28.02,30.71,30.75,30.41
ULI1,4.09,4.09,4,5.19,4.51,3.83
ECO1,10.1,10.1,9.27,9.65,11.09,10.84
CDC14,33.88,33.88,32.4,37.58,37.51,38.48
PTR3,6.79,6.79,6.12,7.93,6.65,7.86
MET10,7.52,7.52,6.22,7.35,8.07,8.53
SMC2,9.07,9.07,8.65,9.06,9.46,10.25
RPL2A,1582.59,1582.59,1664.73,1687.84,1635.02,1649.28
RRT5,1.11,1.11,1.24,1.75,1.68,1.89
RPL29,0,0,0,0,0,0
MIN10,0,0,2.06,0,1.54,0
QCR6,125.34,125.34,129.03,133.62,152.67,129.86
PHO4,43.49,43.49,43.65,50.65,46.2,48.07
YFR035C,18.45,18.45,12.28,19.96,14.63,14.7
YFR035W-A,134.88,134.88,96.85,121.69,156.42,149.52
CDC26,54.8,54.8,53.27,69.88,60.26,60.75
RSC8,101.56,101.56,98.95,116.18,105.82,107.87
IRC5,14.33,14.33,12.49,14.73,13.89,15.19
OSW7,23.24,23.24,21.93,21.39,22.86,22.96
SAP155,16.86,16.86,17.03,20.54,22.61,22.84
ERJ5,34.72,34.72,33.82,37.09,36.95,33.99
KEG1,26.01,26.01,24.25,25.75,27.87,27.91
IRC6,19.17,19.17,18.87,23.4,19.13,19.91
DUG1,84.23,84.23,81.39,94.55,95.68,98.79
MRX20,16.24,16.24,11.87,14.9,13.6,15.38
CNN1,14.62,14.62,13.96,16.51,15.4,16.72
BNA6,58.03,58.03,50.13,57.28,58.83,56.24
RMD8,12.36,12.36,12.19,11.55,14.28,13.99
KGD4,42.32,42.32,46.01,43.26,43.17,51.02
PRE4,198.15,198.15,190.84,240.08,235.12,242.14
RET2,85.87,85.87,80.74,97.2,94.29,101.24
RPN12,158.56,158.56,152.22,182.56,183.46,188.43
HXK1,14.66,14.66,15,21.6,37.56,36.5
YFR054C,1.33,1.33,1.64,1.2,1.66,1.33
IRC7,242.66,242.66,227.82,211.63,232.14,216.88
YFR057W,1.19,1.19,0.35,8.83,8.26,7.33
ERG26,51.67,51.67,54.01,48.99,49.92,49.05
ERP6,38.07,38.07,41.62,41.25,54.42,52.41
CDH1,13.53,13.53,12.99,16.89,16,15.69
RPN14,19.73,19.73,18.58,22.47,23.5,24.2
COG7,33.96,33.96,34.39,41.03,46.64,42.72
PMC1,18.03,18.03,18.08,19.98,21.43,22.7
YGL006W-A,0,0,0,0,0,0
YGL007C-A,0,0,0,0,0,0
BRP1,2.02,2.02,1.55,2.13,2.07,0.88
PMA1,698.91,698.91,670.57,698.93,759.66,790.19
LEU1,179.08,179.08,188.76,216.75,104.89,124.66
MPO1,31.3,31.3,28.27,44.76,51.59,51.16
SCL1,207.57,207.57,206.62,243.47,251.75,251.65
ERG4,127.39,127.39,120.93,149.91,143.41,150.75
PDR1,11.74,11.74,10.97,12.16,13.14,13.35
PUF4,26.44,26.44,24.24,27.63,28.67,30.6
BIL2,0.51,0.51,1.08,2.42,1.32,1.55
KAP122,9.26,9.26,8.25,8.69,8.98,9.94
ATE1,16.97,16.97,18.1,20.52,18.69,20.64
JAC1,26.14,26.14,24.72,26.85,32.86,27.09
CKB1,79.77,79.77,73.7,77.58,80.12,79.06
GET1,99.26,99.26,97.15,95.48,96.36,98.83
ALK1,14.79,14.79,16.05,13.13,16.9,17.59
STT3,83.91,83.91,77.79,94.03,88.55,92.21
PIB2,27.43,27.43,25.46,32.16,32.59,31.73
PGD1,19.52,19.52,18.27,25.36,23.12,25.1
TRP5,65.03,65.03,64.72,71.81,76.7,78.61
CWH41,21.16,21.16,19.96,22.41,21.58,23.6
SCW11,49.17,49.17,49.42,52.06,55.01,61.03
CGR1,343.81,343.81,320.64,375.97,353.23,337.66
RPL30,18515.2,18515.2,17895.29,16917.48,16718.87,16154.68
RPL24A,3132.77,3132.77,3320.95,2915.06,2825.21,2928.65
AGA2,0,0,0,1.74,3.08,3.61
HOP2,0.08,0.08,0,0,0,0.17
YGL034C,0.64,0.64,0.7,0,0.65,0.98
MIG1,26.97,26.97,23.36,30.6,29.13,31.85
VIR1,13.28,13.28,13.02,14.36,16.02,17.15
PNC1,141.54,141.54,140.34,153.39,172.64,185.83
